역명,주소,위도,경도
동묘앞역,서울특별시 종로구 지봉로 지하24(숭인동),37.5735084,127.0174344
창신역,서울특별시 종로구 지봉로 지하112(창신동),37.5793942,127.0150819
보문역,서울특별시 성북구 보문로 지하116(보문동1가),37.58562,127.02004
안암역,서울특별시 성북구 고려대로 지하89(안암동5가),37.5862886,127.0293703
고려대역,서울특별시 성북구 종암로 지하1(종암동),37.58857,127.03669
월곡역,서울특별시 성북구 월곡로 지하107(하월곡동),37.602238,127.0413824
상월곡역,서울특별시 성북구 화랑로 지하157(상월곡동),37.60592,127.04728
돌곶이역,서울특별시 성북구 화랑로 지하243(석관동),37.61015,127.05749
석계역,서울특별시 노원구 화랑로 지하 347-1(월계동) ,37.614857,127.0648184
태릉입구역,서울특별시 노원구 동일로 지하 992-1(공릉동),37.6195,127.07515
화랑대역,서울특별시 노원구 화랑로 지하510(공릉동),37.624288449999995,127.09330689999999
봉화산역,서울특별시 중랑구 신내로 지하232(신내동),37.6176109,127.0904324
신내역,서울특별시 중랑구 용마산로136길 33 신내차량기지,37.6125994,127.10333981409465
장암역,경기도 의정부시 동일로 121(장암동),37.7003,127.05499
도봉산역,서울특별시 도봉구 도봉로 964-40(도봉동),37.6891881,127.0465716
수락산역,서울특별시 노원구 동일로 지하1662(상계동),37.6776718,127.0552006
마들역,서울특별시 노원구 동일로 지하1530-1(상계동),37.6663869,127.0575306
노원역,서울특별시 노원구 동일로 지하1409(상계동),37.6563651,127.0634799
중계역,서울특별시 노원구 동일로 지하1308-1(중계동),37.64383,127.06439
하계역,서울특별시 노원구 동일로 지하1196(하계동),37.63501,127.06881
공릉역,서울특별시 노원구 동일로 지하1074(공릉동),37.6234239,127.0737263
태릉입구역,서울특별시 노원구 동일로 지하 992-1(공릉동),37.6195,127.07515
먹골역,서울특별시 중랑구 동일로 지하901(묵동),37.6093633,127.0781428
중화역,서울특별시 중랑구 동일로 지하797(중화동),38.8580701,125.7881899
상봉역,서울특별시 중랑구 망우로 297(상봉동),37.5970314,127.0856555
면목역,서울특별시 중랑구 면목로 지하407(면목동) ,37.58851,127.08789
사가정역,서울특별시 중랑구 사가정로 지하393(면목동),37.58084,127.08769
용마산역,서울특별시 중랑구 용마산로 지하227(면목동),37.57348,127.08634
중곡역,서울특별시 광진구 능동로 지하417(중곡동),37.56603,127.0845
군자역,서울특별시 광진구 천호대로 지하550(능동),37.5572582,127.0797471
어린이대공원역,서울특별시 광진구 능동로 지하210(화양동),37.5487723,127.0749615
건대입구역,서울특별시 광진구 능동로 지하110(화양동),37.54088,127.06812
뚝섬유원지역,서울특별시 광진구 능동로 10(자양동),37.5312584,127.0666031
청담역,서울특별시 강남구 학동로 지하508(청담동),37.5176356,127.0506188
